Team,5_Raw,4_Raw,3_Raw,5_Exp,4_Exp,3_Exp,5_Prob,4_Prob,3_Prob
Northern Illinois,0,0,36,0.011856864400849432,0.7210286164915001,30.6768843320131,0.000105906527332913,0.0005580297213435372,0.005302022324800869
Hawaii,0,0,29,0.0091080691783052,0.7131635277539008,29.803974461923683,8.135405321099375e-05,0.0005519426491022978,0.005151153430533034
Army,0,3,19,0.0063592739561020295,0.7052984390181134,28.931064591834495,5.6801579092120875e-05,0.0005458555768624606,0.005000284536265238
Wyoming,0,1,28,0.003610478733785172,0.6974333502848298,28.058154721745534,3.224910497223254e-05,0.0005397685046245611,0.0048494156419974805
Kent State,0,0,30,0.0008616835112977839,0.6895682615535943,27.185244851656574,7.696630850821018e-06,0.0005336814323882468,0.004698546747729723
Georgia State,0,0,25,0.0,0.6817031728173468,26.312334981567613,0.0,0.0005275943601480536,0.004547677853461966
UNLV,0,0,27,0.0,0.6738380840895246,25.439425111478652,0.0,0.0005215072879143809,0.004396808959194209
Central Michigan,0,2,20,0.0,0.6659729953503257,24.566515241389464,0.0,0.0005154202156719035,0.0042459400649264125
San Jose State,0,1,19,0.0,0.658107906614541,23.693605371300276,0.0,0.0005093331434320682,0.004095071170658616
Georgia Southern,0,0,22,0.0,0.6502428178798922,22.820695501211087,0.0,0.0005032460711931123,0.00394420227639082
Air Force,0,1,12,0.0,0.6423777291477464,21.947785631122127,0.0,0.0004971589989560934,0.003793333382123063
Buffalo,0,0,23,0.0,0.634512640413325,21.07487576103294,0.0,0.0004910719267173134,0.003642464487855267
Bowling Green,0,1,23,0.0,0.6266475516834547,20.20196589094375,0.0,0.00048498485448205563,0.0034915955935874705
Connecticut,0,1,18,0.0,0.6187824629444822,19.32905602085547,0.0,0.00047889778223975343,0.0033407266993198312
South Alabama,0,1,12,0.0,0.6109173742184755,18.456146150766738,0.0,0.0004728107100074858,0.0031898578050521134
Ball State,0,1,17,0.0,0.6030522854749574,17.58323628067664,0.0,0.0004667236377616655,0.00303898891078416
Massachusetts,0,0,19,0.0,0.5951871967434936,16.710326410587452,0.0,0.0004606365655251746,0.0028881200165163635
Old Dominion,0,0,17,0.0,0.5873221080079354,15.837416540499174,0.0,0.0004545494932855147,0.0027372511222487246
Rice,0,0,15,0.0,0.5794570192744235,14.96450667040953,0.0,0.0004484624210474386,0.0025863822279808494
Navy,0,0,17,0.0,0.5715919305406825,14.09159680032057,0.0,0.00044237534880918515,0.0024355133337130926
New Mexico,0,0,15,0.0,0.5637268418069414,13.218686930231609,0.0,0.00043628827657093175,0.0022846444394453353
Akron,0,0,19,0.0,0.555861753073204,12.345777060142648,0.0,0.00043020120433268105,0.0021337755451775785
Charlotte,0,1,13,0.0,0.54799666433901,11.47286719005346,0.0,0.000424114132094077,0.0019829066509097822
UTEP,0,0,14,0.0,0.5401315756086849,10.59995731996359,0.0,0.00041802705985846726,0.001832037756641868
Eastern Michigan,0,0,12,0.0,0.5322664868744873,9.727047449875311,0.0,0.0004119399876198605,0.0016811688623742287
New Mexico State,0,0,12,0.0,0.5244013981393838,8.854137579786123,0.0,0.0004058529153805526,0.0015302999681064324
Texas State,0,1,9,0.0,0.516536309406554,7.981227709696707,0.0,0.0003997658431430044,0.0013794310738385967
UL-Monroe,0,0,5,0.0,0.5086712206723636,7.108317839607974,0.0,0.00039367877090440315,0.001228562179570879
Coastal Carolina,0,3,7,0.0,0.5008061319393065,6.235407969518558,0.0,0.000387591698666679,0.0010776932853030434
Liberty,0,2,8,0.0,0.49294104320488863,5.3624980994302796,0.0,0.00038150462642790175,0.0009268243910354043
